process	n	p	x1	x2	x3	z	d	xsum
nkons	-1	0	0	0	0	0	0	0
nrem	z	0	0	0	0	0	0	0
nsf	1	0	0	0	0	0	0	0
nden	-1	0	0	0	0	0	0	0
nin	1	0	0	0	0	0	0	0
nout	-n	0	0	0	0	0	0	0
pkons	0	-1	0	0	0	0	0	0
prem	0	z	0	0	0	0	0	0
presp	0	1	0	0	0	0	0	0
psf	0	i_ased(time) / i_vol(time)	0	0	0	0	0	0
pin	0	1	0	0	0	0	0	0
pout	0	-p	0	0	0	0	0	0
xwa1	0	0	x1	0	0	0	0	x1
xsed1	0	0	-x1	0	0	0	0	-x1
xgraz1	0	0	-z	0	0	0	0	-z
xwa2	0	0	0	x2	0	0	0	x2
xsed2	0	0	0	-x2	0	0	0	-x2
xgraz2	0	0	0	-z	0	0	0	-z
xwa3	0	0	0	0	x3	0	0	x3
xsed3	0	0	0	0	-x3	0	0	-x3
xgraz3	0	0	0	0	-z	0	0	-z
zwa	0	0	0	0	0	z	0	0
zmo	0	0	0	0	0	-z	0	0
dgraz	0	0	0	0	0	0	-z	0
dsed	0	0	0	0	0	0	-d	0
din	0	0	0	0	0	0	1	0
dout	0	0	0	0	0	0	-d	0
